group,gene,q_default,log2fc_default,log2fc_arithmetic,fraction_group,fraction_rest,mean_normalized_group,mean_normalized_rest
2,IGHG1,0.01382111591118517,1.3840641373396587,-1.259402547789613,0.10574948665297741,0.045434742017800456,0.2657482442059981,0.6361922118958278
3,IGHM,9.324437229573276e-19,1.0525883613512135,-1.0520142109939359,0.9166666666666666,0.21955534587485992,1.3424556478699823,2.783477915493683
11,IGHG4,0.007783199774937929,1.1333423990942884,-1.0127016748700701,0.11745334796926454,0.05232486050836949,0.19961444218871702,0.40275926660636807
11,IGHG1,0.004469396465085254,1.1449060813059684,-1.6437579245358465,0.1141602634467618,0.045195288282703035,0.20424399647165095,0.638219019070132
