group,gene,rank,score,q,log2fc_default,log2fc_arithmetic,fraction_expressing,mean_normalized_count
10,MS4A1,8198,0.21002694044352907,0.9994721036932938,-0.8559621982968292,-1.6286381284231592,0.16037735849056603,0.23924836732096982
10,CD79A,46,9.134037871589447,3.289297089382169e-17,2.0450257524887285,1.3031801538836438,0.7264150943396226,2.2495392556322744
10,CD14,22576,-1.2279282657389392,0.9994721036932938,-4.44163956750629,-5.71861571541233,0.02830188679245283,0.007775063804044661
10,LYZ,22956,-1.971791422195942,0.46759156699106613,-2.7326267284775194,-4.615188281072783,0.22641509433962265,0.23399292790122247
10,FCER1A,20898,-0.29639852677708844,0.9994721036932938,-5.203368387690686,-6.533555086796106,0.009433962264150943,0.0007458630057619372
10,CLEC10A,20721,-0.2613725807943093,0.9994721036932938,-23.756814326123802,-24.938415834028962,0.0,0.0
11,NKG7,23304,-8.358759486740148,2.1121349020688747e-15,-3.829855641706597,-5.511733348074185,0.04171240395170143,0.05129574947076463
11,KLRF1,21702,-1.7358432285292056,0.44726593487551225,-3.0603509447819808,-3.5176329525682353,0.007683863885839737,0.013128059917865167
11,TRDC,21894,-1.9156099080967384,0.32692061375657555,-5.11192931740387,-5.922719996444301,0.0021953896816684962,0.0023336827526391443
11,SH2D1B,20470,-0.9529800714707355,0.9999211711127847,-4.2290522874618794,-4.440196475756247,0.0010976948408342481,0.001645277258266014
11,GNLY,23056,-4.805209240064669,2.424078986548366e-05,-3.4037647834199203,-5.541331374382264,0.03951701427003293,0.050610504070530096
11,KLRD1,22830,-3.624532091655474,0.0032809708985314864,-3.1872952814835256,-3.843629671030645,0.019758507135016465,0.02904645104411592
11,PRF1,23168,-5.850959274037784,9.811354049307637e-08,-4.191366878025841,-4.899514484838035,0.014270032930845226,0.019076756808839194
11,FCGR3A,22541,-2.881077910944879,0.034565296164701324,-4.415683727264566,-5.2204155446736955,0.005488474204171241,0.006206143722981018
11,CD3D,23415,-16.705349470508303,1.1183725062776314e-60,-3.4974234342378088,-3.6416704209945263,0.07135016465422613,0.13086558647791416
