method,group,gene,score,log10_two_sided_p
default,1,PLAUR,45.43939858983906,-450.1080676175598
default,1,FOSB,40.709053360971474,-361.5702888366899
default,1,VASP,41.39611436930187,-373.8270981321208
default,1,C5AR1,38.293481511174484,-320.10418081508953
default,1,EMP3,38.38926651134988,-321.7002231749105
default,1,FTL,59.30458668320384,-765.5855014122601
default,1,FCGRT,46.86295549758341,-478.6540901442029
default,1,FPR1,47.53167017091031,-492.3672387976918
default,1,MYADM,45.25541737712856,-446.4829575800855
default,1,LILRB3,40.548303187961004,-358.73216620811354
default,1,LILRB2,40.59725660671918,-359.5952749754595
default,1,FKBP1A,39.59079189638946,-342.05920501108716
default,1,CD93,38.257245120173536,-319.5014206930465
default,1,CST3,60.974024789305965,-809.2002172988211
default,1,HCK,39.29661510483436,-337.0166679083646
default,1,SAMHD1,50.36333488312098,-552.5868306835501
default,1,YWHAB,38.370209164889125,-321.3823579032018
default,1,CEBPB,38.90101000956908,-330.2947471899597
default,1,CTSZ,46.9275875587515,-479.971007828619
default,1,ATP5F1E,48.5195282152699,-512.9801694433988
default,1,ITGB2,47.558341498330705,-492.9182060112754
default,1,IL17RA,47.067376890061304,-482.8255031299253
default,1,ADA2,38.17319180904294,-318.1054626767636
default,1,LGALS1,58.38166581910226,-741.9932247164521
default,1,TSPO,57.42938913944047,-718.0381841254141
default,1,TYMP,56.2213974691006,-688.2169855121035
default,1,TMSB4X,39.763693647100595,-345.04047026531714
default,1,AP1S2,51.09786850288321,-568.7763737898988
default,1,SAT1,46.58242228808614,-472.9590716803995
default,1,CYBB,54.62130257488534,-649.6914716657174
default,1,TIMP1,39.586201113752026,-341.980225086315
default,1,CFP,46.42800683526379,-469.838908557379
default,1,PGK1,38.7087653881112,-327.0527482058152
default,2,RALGPS2,40.47524896784378,-357.446065073719
default,2,CD74,41.86478384871834,-382.30546706973394
default,2,HLA-DRA,39.71016143867909,-344.1160523325127
default,2,HLA-DQA1,40.364663320953724,-355.5036397575627
default,2,MS4A1,44.14080496295607,-424.83512246174297
default,2,IGHM,39.7388743988582,-344.6117258229002
default,4,RPL22,-52.47989734457651,-599.8720312892295
default,4,PARK7,-39.66646218320635,-343.36235625849264
default,4,RPL11,-50.68832463563618,-559.7209010388964
default,4,SH3BGRL3,-52.655297762606466,-603.8778388793344
default,4,CD52,-40.35689186712286,-355.36733459577744
default,4,ATP5IF1,-38.17211476347718,-318.08759499248356
default,4,NDUFS5,-38.33278856216546,-320.7586629907948
default,4,YBX1,-56.00946518322926,-683.0504246759347
default,4,RPS8,-53.46347333274438,-622.5075608894122
default,4,UQCRH,-45.40214100947243,-449.372769074492
default,4,TMEM59,-41.25296580324316,-371.25650534861535
default,4,RPL5,-51.33070481162059,-573.9571110228085
default,4,LAMTOR5,-38.29851248775234,-320.1879116864452
default,4,S100A6,-41.9589777381247,-384.02096846535056
default,4,JTB,-39.412059122746115,-338.9910368424812
default,4,RPS27,-45.98973027587467,-461.03934676140096
default,4,CD48,-39.429820084163026,-339.2953051875844
default,4,PRDX6,-41.62374289399661,-377.93305765697033
default,4,H3F3A,-57.34925626552028,-716.0403570609905
default,4,GUK1,-45.113815508571676,-443.7028835974901
default,4,TOMM20,-38.4935070731951,-323.4416831491296
default,4,RPS7,-52.319912522421056,-596.2299333573203
default,4,OST4,-53.99582456615082,-634.9340054818904
default,4,RPS27A,-51.932163033362,-587.4488125916329
default,4,TMSB10,-45.56555852001708,-452.60237693084713
default,4,COX5B,-42.70107659724457,-397.671094647092
default,4,RPL31,-52.071189961693086,-590.5897626959378
default,4,GYPC,-44.051810008894634,-423.12992381511225
default,4,MZT2B,-44.189001698850674,-425.7600369687257
default,4,EEF1B2,-50.889172473039196,-564.1527727907624
default,4,RPL37A,-52.931784654941765,-610.2193875951768
default,4,PTMA,-44.107944321096845,-424.20509178821254
default,4,RPL32,-53.11938138026808,-614.54103508072
default,4,RPL15,-55.21824575236372,-663.9340926544
default,4,RPSA,-47.35441597040917,-488.71342746464103
default,4,RPL14,-50.09006537868138,-546.623593135225
default,4,TMA7,-47.41336919249641,-489.9271399164492
default,4,RHOA,-39.34727094011099,-337.8822917009762
default,4,RPL29,-54.77947744943023,-653.4503412447143
default,4,MTRNR2L12,76.684590031306,-1278.9229137303016
default,4,RPL24,-55.72115594136173,-676.0532270977387
default,4,CNBP,-38.64074887806207,-325.9095642463706
default,4,SEC62,-42.35547052229939,-391.2842960318013
default,4,RPL35A,-58.22825415199818,-738.1074657106585
default,4,ATP5ME,-42.15417149672444,-387.58818380609694
default,4,RPL9,-53.39193561894258,-620.8470646627538
default,4,CCNI,-50.49893331951788,-555.5578694634954
default,4,RPL34,-52.47375143001823,-599.7319126409367
default,4,RPS3A,-53.01263269764285,-612.0800026714888
default,4,RPL37,-53.208799965856805,-616.6063392272091
default,4,BTF3,-60.82225892759041,-805.1852734908457
default,4,NSA2,-38.66127184274773,-326.25429139497675
default,4,TBCA,-38.0674899170667,-316.3543173183129
default,4,RPS23,-54.23689928412655,-640.6017822977219
default,4,COX7C,-54.731423876739825,-652.30724687843
default,4,HINT1,-45.98483020973711,-460.9414363009045
default,4,PAIP2,-37.70175719137067,-310.33269961491976
default,4,RPS14,-54.304130386503424,-642.1869156875537
default,4,NPM1,-39.23185619277793,-335.91166798061755
default,4,ATP6V0E1,-42.296645340098785,-390.202370182341
default,4,RACK1,-53.53185476172177,-624.0968719847967
default,4,HIST1H4C,-41.59994170173737,-377.5026793034052
default,4,CLIC1,-41.25598998342262,-371.3107201502088
default,4,RPS18,-48.285278140489105,-508.0539227989399
default,4,RPS10,-55.40902518344343,-668.5185706565361
default,4,RPL10A,-51.4941710992649,-577.6083886702312
default,4,TOMM6,-42.75171535621743,-398.61125341309275
default,4,EEF1A1,-46.119253799286945,-463.6311944412739
default,4,COX7A2,-47.1297161312681,-484.1012041068356
default,4,SNX3,-42.1104225030798,-386.78722196339834
default,4,RPS12,-55.46083052805003,-669.7661942374107
default,4,PSMB1,-38.23514697052423,-319.13411736693837
default,4,NDUFA4,-47.80945550084053,-498.1207743142583
default,4,TOMM7,-48.41801079058376,-510.84234731230475
default,4,PPIA,-38.50288447060643,-323.59857469466306
default,4,CHCHD2,-52.526863594420135,-600.9433405677124
default,4,ATP5MF,-44.328953359696314,-428.45147986982664
default,4,LAMTOR4,-37.7588304627415,-311.26856159542785
default,4,FIS1,-41.86910186722658,-382.3840245371881
default,4,MTPN,-39.751509121237255,-344.82995313498355
default,4,NDUFB2,-38.62516459471788,-325.64791493717564
default,4,RPS20,-52.28060021246713,-595.3366786357452
default,4,SNHG6,-44.43413711037383,-430.4798891530009
default,4,RPL7,-55.40555184747118,-668.4349642892896
default,4,UQCRB,-54.207291584627576,-639.9043326413265
default,4,RPL30,-55.56460177521632,-672.2688126724
default,4,COX6C,-49.42785934406075,-532.3075172619962
default,4,EIF3E,-44.96501690127361,-440.79089440722277
default,4,EIF3H,-43.21322801425067,-407.2309915310552
default,4,EEF1D,-40.1755020277294,-352.1933462578495
default,4,RPL8,-54.221778383229214,-640.2455413475395
default,4,RPS6,-50.54480411699811,-556.5647315529035
default,4,ANP32B,-42.03879536459528,-385.4776571979457
default,4,ATP6V1G1,-42.27666095588864,-389.8351547460335
default,4,RPL35,-50.681782407143096,-559.5768359278495
default,4,RPL12,-56.822831449723594,-702.9851495766886
default,4,RPL7A,-55.724568305959394,-676.135833348136
default,4,EDF1,-42.026432402208385,-385.25184950819926
default,4,ANAPC16,-41.91441782519807,-383.2089433401012
default,4,RPS24,-55.30919675183372,-666.1176972409162
default,4,ATP5MD,-40.607488281429774,-359.77580335669666
